Academic_Score,Score_on_Plays_Made,Missed_Play_Score,Injury_Propensity,School_Type,School_Score,Overall_Score,Region,Scholarship
7,0.27,0.36,High,A,0.45,8.8,Eastern,Partial
6.3,0.3,0.34,Low,C,0.49,9.5,Eastern,Partial
8.1,0.28,0.4,Moderate,C,0.44,10.1,Eastern,Partial
7.2,0.23,0.32,Moderate,C,0.4,9.9,Eastern,Partial
7.2,0.23,0.32,Moderate,C,0.4,9.9,Eastern,Partial
8.1,0.28,0.4,Moderate,C,0.44,10.1,Eastern,Partial
6.2,0.32,0.16,Moderate,C,0.47,9.6,Eastern,Full
7,0.27,0.36,High,A,0.45,8.8,Eastern,Partial
6.3,0.3,0.34,Low,C,0.49,9.5,Eastern,Partial
8.1,0.22,0.43,Low,C,0.45,11,Eastern,Partial
8.1,0.27,0.41,Low,B,0.56,12,Southern,Partial
8.6,0.23,0.4,Normal,C,0.53,9.7,Southern,Partial
7.9,0.18,0.37,Low,B,0.63,10.8,Southern,Partial
6.6,0.16,0.4,Low,B,0.52,12.4,Western,Partial
8.3,0.42,0.62,High,A,0.67,9.7,Southern,Partial
6.6,0.17,0.38,Low,B,0.55,11.4,Western,Partial
6.3,0.48,0.04,Low,C,0.36,9.6,Eastern,Partial
7.4,0.34,0.42,Low,B,0.53,11.3,Eastern,Partial
6.5,0.31,0.14,Moderate,C,0.5,9.5,Southern,Full
6.4,0.31,0.38,Normal,B,0.35,11,Western,Partial
7.6,0.67,0.14,Low,C,0.51,9.3,Southern,Partial
6.6,0.27,0.41,Low,C,0.47,10,Eastern,Full
7,0.25,0.32,Moderate,C,0.5,10.4,Eastern,Partial
6.9,0.24,0.35,Low,C,0.44,10,Eastern,Partial
7,0.28,0.39,Moderate,C,0.53,10.5,Eastern,Partial
7.4,0.27,0.48,Low,B,0.49,11.6,Eastern,Partial
7.2,0.32,0.36,Low,B,0.71,12.3,Western,Partial
8.5,0.24,0.39,High,C,0.53,10,Eastern,Partial
8.3,0.14,0.34,Low,C,0.4,10.2,Eastern,Partial
7.4,0.25,0.36,Low,B,0.44,10.8,Eastern,Partial
6.2,0.12,0.34,Low,C,0.51,9,Eastern,Full
5.8,0.27,0.2,High,C,0.37,10.2,Southern,Partial
7.3,0.28,0.43,Low,B,0.42,12.8,Southern,Full
6.5,0.39,0.23,Normal,C,0.35,10,Southern,Partial
7,0.33,0.32,Low,B,0.28,11.2,Eastern,Partial
7.3,0.24,0.39,High,D,0.36,8.6,Southern,Partial
7.3,0.24,0.39,High,D,0.36,8.6,Southern,Partial
6.7,0.23,0.39,Normal,C,0.36,9.4,Eastern,Full
6.7,0.24,0.39,Normal,C,0.34,9.4,Eastern,Partial
7,0.31,0.26,Moderate,C,0.46,9.8,Eastern,Full
6.6,0.24,0.27,Low,C,0.56,9.5,Eastern,Partial
6.7,0.23,0.26,Low,C,0.56,9.5,Eastern,Partial
7.4,0.18,0.31,Low,C,0.53,10,Western,Partial
6.2,0.45,0.26,Normal,C,0.52,9.8,Western,Partial
6.2,0.46,0.25,Normal,C,0.52,9.8,Southern,Partial
7,0.31,0.26,Moderate,C,0.46,9.8,Eastern,Partial
6.9,0.19,0.35,Normal,C,0.48,9.8,Southern,Partial
7.2,0.19,0.31,Low,B,0.44,11.7,Eastern,Partial
6.6,0.25,0.29,Low,B,0.58,11,Western,Partial
6.2,0.16,0.33,Low,B,0.46,10.9,Western,Full
6.4,0.18,0.35,Low,B,0.35,10.9,Eastern,Partial
6.8,0.2,0.59,Low,C,0.38,9.1,Eastern,Partial
6.9,0.25,0.35,Low,B,0.52,11,Eastern,Partial
